Query,Completion result
当前非WiFi网络，请注意流量消耗,"非WiFi,流量,消耗"
保安怎么说,保安
这期很有意思，好玩,"有意思,好玩"
哈哈哈哈哈哈哈哈哈哈哈,哈哈
电池？,电池
伺服电机装洗衣机上了？,"伺服电机,洗衣机"
巡线机器人！,"巡线,机器人"
封面白马,"白马,封面"
MC好评,"MC,好评"
海尔兄弟（团长音）,"海尔兄弟,团长"
说得那么牛逼，实际上就是个大无刷foc,"牛逼,无刷,foc"
正E！,正E
三分钟前,三分钟
甲方：你就是这么宣传的？,"甲方,宣传"
反导弹系统,"反导弹,导弹,系统"
666全是草东粉,"666,草东粉"
支持了一个电机是吧,"支持,电机"
不行了，这个是真喜欢，求UP主开店,"喜欢,求,开店"
卧槽 我真喜欢,"卧槽,喜欢"
我先来，零帧起手,"我先来,零帧起手"
就是总感觉那个，有点像詹姆士，我们赢你们输,"感觉,詹姆士,赢,输"
左轮上弹,"左轮,上弹"
米莱狄,米莱狄
《流水生产线》,"流水,生产线"
甲方登场,"甲方,登场"
建议配上百鬼夜行音乐,"百鬼夜行,音乐"
安全套2333,"安全套,2333"
秒杀全部up,"秒杀,up"
要是白天就满了怎么办，路上不明发生碰撞,"白天,路上,碰撞"
中嘞看胡歌,胡歌
开拓者最爱的一集,"开拓者,最爱"
开宫！,开宫
加班咋办,加班
智能且高碳,"智能,高碳"
我们公司物流机器人就是这样运货的,"物流机器人,运货"
倒放,倒放
保洁：？,保洁
《直特换桶》,"直特,换桶"
这个视频做的一般，但还达不到我的标准，我不会给三连，希望 UP 主继续努力，我终于可以不用必须有给三连的压力了，继续加油。,"视频一般,达不到标准,不给三连,UP主,继续努力,继续加油"
占领空瓶,"占领,空瓶"
快点量产,量产
CR200J,CR200J
米莱狄,米莱狄
开拓者闻着味来啦——,开拓者
妙啊,妙
哈哈哈哈哈哈哈哈哈哈服了,"哈哈,服了"
甲方：我让你推广没让你把我拆了推广,"甲方,推广,拆了"
立  及  甬,"立,及,甬"
《逛街》,逛街
你没吃过旋转小火锅吗,旋转小火锅
我去真的太灵活了,灵活
感谢甲方妈妈！！！,"感谢,甲方"
"skibidi toilet ","skibidi,toilet"
必须量产！坐等！,"量产,坐等"
